Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
D4H5 | 2.4 | -2.4 
D4H6 | 2.4 | -2.4 
D4S2 | 2.4 | -2.4 
D4S5 | 2.4 | -2.4 
D4S6 | 2.4 | -2.4 
D5D6 | 2.4 | -2.4 
D5H2 | 2.4 | -2.4 
D5H4 | 2.4 | -2.4 
D5H6 | 2.4 | -2.4 
D5S2 | 2.4 | -2.4 
D5S4 | 2.4 | -2.4 
D5S6 | 2.4 | -2.4 
D6H2 | 2.4 | -2.4 
D6H4 | 2.4 | -2.4 
D6H5 | 2.4 | -2.4 
D6S2 | 2.4 | -2.4 
D6S4 | 2.4 | -2.4 
D6S5 | 2.4 | -2.4 
H2H4 | 2.4 | -2.4 
H2H5 | 2.4 | -2.4 
H2H6 | 2.4 | -2.4 
H2S4 | 2.4 | -2.4 
H2S5 | 2.4 | -2.4 
H2S6 | 2.4 | -2.4 
H4H5 | 2.4 | -2.4 
H4H6 | 2.4 | -2.4 
H4S2 | 2.4 | -2.4 
H4S5 | 2.4 | -2.4 
H4S6 | 2.4 | -2.4 
H5H6 | 2.4 | -2.4 
H5S2 | 2.4 | -2.4 
H5S4 | 2.4 | -2.4 
H5S6 | 2.4 | -2.4 
H6S2 | 2.4 | -2.4 
H6S4 | 2.4 | -2.4 
H6S5 | 2.4 | -2.4 
S2S4 | 2.4 | -2.4 
S2S5 | 2.4 | -2.4 
S2S6 | 2.4 | -2.4 
S4S5 | 2.4 | -2.4 
S4S6 | 2.4 | -2.4 
S5S6 | 2.4 | -2.4 
CAHA | 1.8288764959223545 | 3.0784208550431025 
CADA | 1.828876495922353 | 3.078420855043101 
CASA | 1.8288764959223525 | 3.0784208550431016 
DAHA | 1.563860150368698 | 2.6671709676638113 
DASA | 1.5638601503686966 | 2.667170967663812 
HASA | 1.5638601503686966 | 2.6671709676638122 
CAHQ | 1.2786296451923003 | 2.266817642226183 
CADQ | 1.2786296451922996 | 2.266817642226183 
CASQ | 1.2786296451922987 | 2.266817642226182 
C7D2 | 1.2183728588088887 | -1.2183728588088887 
C7H2 | 1.2183728588088887 | -1.2183728588088887 
C7S2 | 1.2183728588088887 | -1.2183728588088887 
C2D7 | 1.2183711870382121 | -1.2183711870382121 
C2H7 | 1.2183711870382121 | -1.2183711870382121 
C2S7 | 1.2183711870382121 | -1.2183711870382121 
C6D7 | 1.2183696573670524 | -1.2183696573670524 
C6H7 | 1.2183696573670524 | -1.2183696573670524 
C6S7 | 1.2183696573670524 | -1.2183696573670524 
C7D6 | 1.218369608830291 | -1.218369608830291 
C7H6 | 1.218369608830291 | -1.218369608830291 
C7S6 | 1.218369608830291 | -1.218369608830291 
C7D5 | 1.2183684416258358 | -1.2183684416258358 
C7H5 | 1.2183684416258358 | -1.2183684416258358 
C7S5 | 1.2183684416258358 | -1.2183684416258358 
C7D4 | 1.2183679068085638 | -1.2183679068085638 
C7H4 | 1.2183679068085638 | -1.2183679068085638 
C7S4 | 1.2183679068085638 | -1.2183679068085638 
C5D7 | 1.2183673126577377 | -1.2183673126577377 
C5H7 | 1.2183673126577377 | -1.2183673126577377 
C5S7 | 1.2183673126577377 | -1.2183673126577377 
C4D7 | 1.2183664814745598 | -1.2183664814745598 
C4H7 | 1.2183664814745598 | -1.2183664814745598 
C4S7 | 1.2183664814745598 | -1.2183664814745598 
D2D7 | 1.2183575066343526 | -1.2183575066343526 
D2H7 | 1.2183575066343526 | -1.2183575066343526 
D2S7 | 1.2183575066343526 | -1.2183575066343526 
D7H2 | 1.2183575066343526 | -1.2183575066343526 
D7S2 | 1.2183575066343526 | -1.2183575066343526 
H2H7 | 1.2183575066343526 | -1.2183575066343526 
H2S7 | 1.2183575066343526 | -1.2183575066343526 
H7S2 | 1.2183575066343526 | -1.2183575066343526 
S2S7 | 1.2183575066343526 | -1.2183575066343526 
D6D7 | 1.2183543223077304 | -1.2183543223077304 
D6H7 | 1.2183543223077304 | -1.2183543223077304 
D6S7 | 1.2183543223077304 | -1.2183543223077304 
D7H6 | 1.2183543223077304 | -1.2183543223077304 
D7S6 | 1.2183543223077304 | -1.2183543223077304 
H6H7 | 1.2183543223077304 | -1.2183543223077304 
H6S7 | 1.2183543223077304 | -1.2183543223077304 
H7S6 | 1.2183543223077304 | -1.2183543223077304 
S6S7 | 1.2183543223077304 | -1.2183543223077304 
D5D7 | 1.2183531799021214 | -1.2183531799021214 
D5H7 | 1.2183531799021214 | -1.2183531799021214 
D5S7 | 1.2183531799021214 | -1.2183531799021214 
D7H5 | 1.2183531799021214 | -1.2183531799021214 
D7S5 | 1.2183531799021214 | -1.2183531799021214 
H5H7 | 1.2183531799021214 | -1.2183531799021214 
H5S7 | 1.2183531799021214 | -1.2183531799021214 
H7S5 | 1.2183531799021214 | -1.2183531799021214 
S5S7 | 1.2183531799021214 | -1.2183531799021214 
D4D7 | 1.2183526564419516 | -1.2183526564419516 
D4H7 | 1.2183526564419516 | -1.2183526564419516 
D4S7 | 1.2183526564419516 | -1.2183526564419516 
D7H4 | 1.2183526564419516 | -1.2183526564419516 
D7S4 | 1.2183526564419516 | -1.2183526564419516 
H4H7 | 1.2183526564419516 | -1.2183526564419516 
H4S7 | 1.2183526564419516 | -1.2183526564419516 
H7S4 | 1.2183526564419516 | -1.2183526564419516 
S4S7 | 1.2183526564419516 | -1.2183526564419516 
DQHQ | 1.126166678262854 | 0.9443335291336512 
DQSQ | 1.1261666782628537 | 0.9443335291336514 
HQSQ | 1.1261666782628534 | 0.9443335291336514 
HQHA | 0.7983029604552334 | 1.8528982093316095 
DAHQ | 0.7983029604552332 | 1.8528982093316095 
HQSA | 0.798302960455233 | 1.8528982093316095 
DQHA | 0.7983029604552329 | 1.852898209331609 
DQDA | 0.7983029604552327 | 1.8528982093316093 
DASQ | 0.7983029604552325 | 1.8528982093316093 
HASQ | 0.7983029604552325 | 1.852898209331609 
DQSA | 0.798302960455232 | 1.8528982093316089 
SQSA | 0.798302960455229 | 1.8528982093316144 
C8DA | 0.5838228872563567 | -1.2520596435292373 
C8HA | 0.5838228872563567 | -1.252059643529237 
C8SA | 0.5838228872563564 | -1.2520596435292373 
CAS8 | 0.5768278231151601 | -1.2643527439830953 
CAH8 | 0.57682782311516 | -1.264352743983095 
CAD8 | 0.5768278231151596 | -1.2643527439830948 
CJHQ | 0.5613054247134104 | 1.436508208926075 
CJSQ | 0.5613054247134103 | 1.436508208926075 
CJDQ | 0.56130542471341 | 1.436508208926075 
S8SA | 0.5509647413777099 | -1.2270996616891252 
D8DA | 0.5509647413777097 | -1.2270996616891243 
DAH8 | 0.5509647413777097 | -1.2270996616891248 
DAS8 | 0.5509647413777097 | -1.2270996616891257 
HAS8 | 0.5509647413777097 | -1.2270996616891248 
D8HA | 0.5509647413777096 | -1.227099661689124 
D8SA | 0.5509647413777096 | -1.2270996616891248 
H8HA | 0.5509647413777096 | -1.2270996616891243 
H8SA | 0.5509647413777096 | -1.2270996616891248 
DJSQ | 0.3949705300890861 | 1.3430596128224193 
HJSQ | 0.394970530089086 | 1.3430596128224188 
SJSQ | 0.3949705300890858 | 1.3430596128224186 
DJHQ | 0.39497053008908567 | 1.3430596128224184 
HQSJ | 0.39497053008908556 | 1.343059612822418 
DQSJ | 0.3949705300890855 | 1.3430596128224184 
HJHQ | 0.3949705300890855 | 1.343059612822418 
DJDQ | 0.39497053008908534 | 1.343059612822418 
DQHJ | 0.39497053008908534 | 1.3430596128224177 
C3DT | 0.18553195270943224 | 3.6541071650952675 
C3HT | 0.18553195270943224 | 3.6541071650952675 
C3ST | 0.18553195270943224 | 3.6541071650952675 
D3DT | 0.09527316490484364 | 3.6054544580356698 
D3HT | 0.09527316490484364 | 3.6054544580356698 
DTH3 | 0.09527316490484358 | 3.6054544580356698 
H3HT | 0.09527316490484358 | 3.6054544580356698 
D3ST | 0.09527316490484354 | 3.6054544580356698 
H3ST | 0.09527316490484349 | 3.6054544580356698 
C2CT | 0.0 | 0.0 
C2CQ | 0.0 | 0.0 
C2CK | 0.0 | 0.0 
C2S3 | 0.0 | 0.0 
C2SK | 0.0 | 0.0 
C3CT | 0.0 | 0.0 
C3CQ | 0.0 | 0.0 
C3CK | 0.0 | 0.0 
C3S3 | 0.0 | 0.0 
C3SK | 0.0 | 0.0 
C4CT | 0.0 | 0.0 
C4CQ | 0.0 | 0.0 
C4CK | 0.0 | 0.0 
C4S3 | 0.0 | 0.0 
C4SK | 0.0 | 0.0 
C5CT | 0.0 | 0.0 
C5CQ | 0.0 | 0.0 
C5CK | 0.0 | 0.0 
C5S3 | 0.0 | 0.0 
C5SK | 0.0 | 0.0 
C6CT | 0.0 | 0.0 
C6CQ | 0.0 | 0.0 
C6CK | 0.0 | 0.0 
C6S3 | 0.0 | 0.0 
C6SK | 0.0 | 0.0 
C7CT | 0.0 | 0.0 
C7CQ | 0.0 | 0.0 
C7CK | 0.0 | 0.0 
C7S3 | 0.0 | 0.0 
C7SK | 0.0 | 0.0 
C8CT | 0.0 | 0.0 
C8CQ | 0.0 | 0.0 
C8CK | 0.0 | 0.0 
C8S3 | 0.0 | 0.0 
C8SK | 0.0 | 0.0 
C9CT | 0.0 | 0.0 
C9CQ | 0.0 | 0.0 
C9CK | 0.0 | 0.0 
C9S3 | 0.0 | 0.0 
C9SK | 0.0 | 0.0 
CTCJ | 0.0 | 0.0 
CTCQ | 0.0 | 0.0 
CTCK | 0.0 | 0.0 
CTCA | 0.0 | 0.0 
CTD2 | 0.0 | 0.0 
CTD3 | 0.0 | 0.0 
CTD4 | 0.0 | 0.0 
CTD5 | 0.0 | 0.0 
CTD6 | 0.0 | 0.0 
CTD7 | 0.0 | 0.0 
CTD8 | 0.0 | 0.0 
CTD9 | 0.0 | 0.0 
CTDT | 0.0 | 0.0 
CTDJ | 0.0 | 0.0 
CTDQ | 0.0 | 0.0 
CTDK | 0.0 | 0.0 
CTDA | 0.0 | 0.0 
CTH2 | 0.0 | 0.0 
CTH3 | 0.0 | 0.0 
CTH4 | 0.0 | 0.0 
CTH5 | 0.0 | 0.0 
CTH6 | 0.0 | 0.0 
